Name,Brand,Price,Processor,RAM,Memory,Screen,Performance,Camera,Connectivity,Battery,Price Toko
Alcatel 1S,Alcatel,1650000,Mediatek,3,32,4.1,5.7,4.8,5.5,5.9,1650000
Alcatel 1SE,Alcatel,1650000,Unisoc,4,64,3.6,5.4,4.9,5.4,5.7,1650000
Zenfone 4 Max,Asus,1750000,Snapdragon,3,32,4.1,4.5,3.7,5.7,7.7,1750000
Infinix Hot 10 Play,Infinix,1350000,Mediatek,2,32,4.3,5.7,4.6,6.7,8.8,1350000
Nokia C3,Nokia,1600000,Unisoc,2,16,3.7,4.3,3.5,3.5,4.4,1600000
Oppo A11,Oppo,1500000,Mediatek,2,32,3.9,5.4,4.5,4.5,6.8,1500000
Oppo A15,Oppo,1900000,Mediatek,3,32,6.4,5.9,4.7,5.9,6.9,1900000
Oppo A11K,Oppo,1750000,Mediatek,2,32,3.9,5.4,4.5,4.5,6.8,1750000
Poco M3,Poco,1900000,Snapdragon,4,64,7,6.7,6.8,7,8.9,1900000
Realme C20,Realme,1350000,Mediatek,2,32,5.8,5.8,3.4,5.6,8.1,1350000
Realme C11,Realme,1550000,Mediatek,2,32,6.3,5.8,4.4,5.1,7.9,1550000
Realme C21,Realme ,1700000,Mediatek,3,32,5.1,5.9,4.7,5.3,8.1,1700000
Samsung Galaxy A02s,Samsung,2100000,Snapdragon,4,64,3.6,5.4,5,5.2,7.9,2100000
Samsung Galaxy A10s,Samsung,1450000,Mediatek,2,32,3.6,5.2,4.8,5,5.8,1450000
